source,sha256,key,mean,lower,upper,scale,interval_status,n,unit
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,primary/baseline6,-0.0027173243620971198,-0.01672066421045329,0.011338194895735598,original proportions unless geometry/count,98.333333% primary three-contrast family,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,primary/ordinary,-0.0027173243620971198,-0.01672066421045329,0.011338194895735598,original proportions unless geometry/count,98.333333% primary three-contrast family,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,primary/sham,-0.009989874063064903,-0.025258896487439106,0.003291690890014905,original proportions unless geometry/count,98.333333% primary three-contrast family,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,guardrails/baseline6/new_learning,-0.0028146656881735538,-0.008715528891829706,,original proportions unless geometry/count,one-sided alpha .05/12,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,guardrails/baseline6/reversal,-9.470767126841875e-05,-0.022358594363109628,,original proportions unless geometry/count,one-sided alpha .05/12,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,guardrails/baseline6/unchanged,0.002546119548289297,-0.024740812209734266,,original proportions unless geometry/count,one-sided alpha .05/12,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,guardrails/baseline6/worst_pair,-0.01729722926096533,-0.07970523277212835,,original proportions unless geometry/count,one-sided alpha .05/12,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,guardrails/ordinary/new_learning,-0.0028146656881735538,-0.008715528891829706,,original proportions unless geometry/count,one-sided alpha .05/12,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,guardrails/ordinary/reversal,-9.470767126841875e-05,-0.022358594363109628,,original proportions unless geometry/count,one-sided alpha .05/12,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,guardrails/ordinary/unchanged,0.002546119548289297,-0.024740812209734266,,original proportions unless geometry/count,one-sided alpha .05/12,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,guardrails/ordinary/worst_pair,-0.01729722926096533,-0.07970523277212835,,original proportions unless geometry/count,one-sided alpha .05/12,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,guardrails/sham/new_learning,-0.0018131288185378562,-0.006337006024829333,,original proportions unless geometry/count,one-sided alpha .05/12,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,guardrails/sham/reversal,0.0023963596311452687,-0.019418703316568198,,original proportions unless geometry/count,one-sided alpha .05/12,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,guardrails/sham/unchanged,0.017949482119480564,-0.004191887625413116,,original proportions unless geometry/count,one-sided alpha .05/12,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,guardrails/sham/worst_pair,-0.02854526882568377,-0.08109994456259668,,original proportions unless geometry/count,one-sided alpha .05/12,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/baseline6/retention,0.9789088139154909,0.9602303156208961,0.993801190486971,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/baseline6/worst_pair,0.9580781144860773,0.9207783269631467,0.9878223003432777,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/baseline6/new_learning,0.9936039877373662,0.9851300535432594,0.9984717808586109,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/baseline6/forgetting,0.014695173821875329,0.0006815807803183336,0.03152075351437666,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/baseline6/noise_retention,0.9712389525884776,0.9515949413505839,0.9874706320084379,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/baseline6/reversal,0.9976039145802316,0.9954330873000841,0.9992161489937986,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/baseline6/unchanged,0.8554339954141952,0.7565263073553141,0.939479523458611,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/baseline6/below_chance,0.0,0.0,0.0,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/ordinary/retention,0.9789088139154909,0.9602303156208961,0.993801190486971,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/ordinary/worst_pair,0.9580781144860773,0.9207783269631467,0.9878223003432777,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/ordinary/new_learning,0.9936039877373662,0.9851300535432594,0.9984717808586109,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/ordinary/forgetting,0.014695173821875329,0.0006815807803183336,0.03152075351437666,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/ordinary/noise_retention,0.9712389525884776,0.9515949413505839,0.9874706320084379,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/ordinary/reversal,0.9976039145802316,0.9954330873000841,0.9992161489937986,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/ordinary/unchanged,0.8554339954141952,0.7565263073553141,0.939479523458611,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/ordinary/below_chance,0.0,0.0,0.0,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/homeostasis/retention,0.9776032733612987,0.9546078738327756,0.9949282749440035,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/homeostasis/worst_pair,0.955395837667489,0.9094405442102661,0.9900710073915407,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/homeostasis/new_learning,0.9927149645632811,0.9829125756961102,0.9982517680295256,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/homeostasis/forgetting,0.015111691201982325,0.0004477238728539687,0.03685860655362646,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/homeostasis/noise_retention,0.966834758392662,0.9429488159358291,0.9855811261166931,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/homeostasis/reversal,0.9863731216429991,0.9630015333668787,0.9991948003871491,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/homeostasis/unchanged,0.8540275837220989,0.7467803074787375,0.9448631099605982,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/homeostasis/below_chance,0.015625,0.0,0.046875,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/sham/retention,0.9813072928962698,0.9644176772955331,0.9948424347947208,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/sham/worst_pair,0.962904564643591,0.9291245188763385,0.9899449394786194,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/sham/new_learning,0.9923430359891516,0.9813322513745915,0.9985018288292903,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/sham/forgetting,0.011035743092881837,0.0005868735582517102,0.024818563741357186,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/sham/noise_retention,0.969605830942182,0.9497210182965393,0.986021806387888,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/sham/reversal,0.9959906852602289,0.9919532520951675,0.9989052896382015,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/sham/unchanged,0.8823176374664501,0.7909843541430425,0.9576672836247647,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/sham/below_chance,0.0,0.0,0.0,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/random_ordinary/retention,0.9778085457373459,0.9640904455053603,0.9890473424984086,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/random_ordinary/worst_pair,0.9575619187819995,0.9302169597284066,0.9798583813670714,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/random_ordinary/new_learning,0.9945122034517149,0.992172299381537,0.9964197381647746,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/random_ordinary/forgetting,0.016703657714368957,0.005630640188210535,0.030438073432499404,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/random_ordinary/noise_retention,0.9610341321698825,0.9467615337021268,0.9736484261607881,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/random_ordinary/reversal,0.9945999081212482,0.9917280607410811,0.9970511900837534,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/random_ordinary/unchanged,0.8905296730443162,0.8454365362105252,0.9322534536578275,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/random_ordinary/below_chance,0.015625,0.0,0.03645833333333333,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/random_homeostasis/retention,0.9786440072235862,0.9656463316128834,0.9893351873789119,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/random_homeostasis/worst_pair,0.9590022808312706,0.9330498193522665,0.9803153229945446,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/random_homeostasis/new_learning,0.9935673030210702,0.9892782943914448,0.9964658075036669,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/random_homeostasis/forgetting,0.014923295797483947,0.004731348873889795,0.027732963312080482,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/random_homeostasis/noise_retention,0.9595989896479648,0.9445786631785019,0.9728961210442438,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/random_homeostasis/reversal,0.995225074409834,0.9927211793924828,0.9973525143553601,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/random_homeostasis/unchanged,0.8978268513853305,0.8531547927667241,0.9388789769448744,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/random_homeostasis/below_chance,0.010416666666666666,0.0,0.026041666666666664,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/direct/retention,0.9946434194639371,0.9860818824074831,0.999198384914308,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/direct/worst_pair,0.9894085529474896,0.9723090638086019,0.9984787883303512,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/direct/new_learning,0.9947435406580554,0.9861926113925106,0.9992772120074473,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/direct/forgetting,0.00010012119411833414,-0.000167110229821649,0.00041089268920775217,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/direct/noise_retention,0.9907145404692963,0.9796731409784418,0.9970810719275514,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/direct/reversal,0.9952018768940067,0.9874598130774377,0.9996766080443232,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/direct/unchanged,0.9654238037372553,0.9188593194058096,0.9944336326378009,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/direct/below_chance,0.0,0.0,0.0,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/oracle/retention,0.9983713531587601,0.9979205565461322,0.9987892054316042,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/oracle/worst_pair,0.9975242065686036,0.9967432343069828,0.9982220137230733,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/oracle/new_learning,0.9983713531587601,0.9979205565461322,0.9987892054316042,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/oracle/forgetting,0.0,0.0,0.0,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/oracle/noise_retention,0.9983713531587601,0.9979205565461322,0.9987892054316042,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/oracle/reversal,0.9982797240314376,0.9972800278807571,0.999092097324142,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/oracle/unchanged,0.9982615568045458,0.9974751502966578,0.9989171455148868,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/oracle/below_chance,0.0,0.0,0.0,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/fixed_homeostasis/retention,0.9776032733612987,0.9546078738327756,0.9949282749440035,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/fixed_homeostasis/worst_pair,0.955395837667489,0.9094405442102661,0.9900710073915407,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/fixed_homeostasis/new_learning,0.9927149645632811,0.9829125756961102,0.9982517680295256,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/fixed_homeostasis/forgetting,0.015111691201982325,0.0004477238728539687,0.03685860655362646,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/fixed_homeostasis/noise_retention,0.966834758392662,0.9429488159358291,0.9855811261166931,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/fixed_homeostasis/reversal,0.9863731216429991,0.9630015333668787,0.9991948003871491,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/fixed_homeostasis/unchanged,0.8540275837220989,0.7467803074787375,0.9448631099605982,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/fixed_homeostasis/below_chance,0.015625,0.0,0.046875,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/fixed_sham/retention,0.9813072928962698,0.9644176772955331,0.9948424347947208,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/fixed_sham/worst_pair,0.962904564643591,0.9291245188763385,0.9899449394786194,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/fixed_sham/new_learning,0.9923430359891516,0.9813322513745915,0.9985018288292903,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/fixed_sham/forgetting,0.011035743092881837,0.0005868735582517102,0.024818563741357186,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/fixed_sham/noise_retention,0.969605830942182,0.9497210182965393,0.986021806387888,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/fixed_sham/reversal,0.9959906852602289,0.9919532520951675,0.9989052896382015,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/fixed_sham/unchanged,0.8823176374664501,0.7909843541430425,0.9576672836247647,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/analysis.json,2601c8c574995948d6fa1f8472ad7eeec285df9c89d3f506ab5e32daa82c4fb2,profiles/2_per_pair_2_False/fixed_sham/below_chance,0.0,0.0,0.0,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
